FILE,LABEL,VALUE
calculation,label,loc_us-gaap_AccountsReceivableNetCurrent_3624ca6a-871b-4671-8ed2-f69dfa114245
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccountsReceivableNetCurrent
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_bb490367-7134-41ef-a029-3ff34cfea825
calculation,to,loc_us-gaap_AccountsReceivableNetCurrent_3624ca6a-871b-4671-8ed2-f69dfa114245
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_PrepaidExpenseAndOtherAssetsCurrent_08fc6502-651c-49a5-b022-6018cbdab29b
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_PrepaidExpenseAndOtherAssetsCurrent
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_bb490367-7134-41ef-a029-3ff34cfea825
calculation,to,loc_us-gaap_PrepaidExpenseAndOtherAssetsCurrent_08fc6502-651c-49a5-b022-6018cbdab29b
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_LiabilitiesCurrent_3e79328b-bd82-4b51-bab8-f85402d2d567
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_LiabilitiesCurrent
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AccountsPayableTradeCurrent_74d668f2-ad06-4364-ab7d-b4eec82e4e8d
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccountsPayableTradeCurrent
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_3e79328b-bd82-4b51-bab8-f85402d2d567
calculation,to,loc_us-gaap_AccountsPayableTradeCurrent_74d668f2-ad06-4364-ab7d-b4eec82e4e8d
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AccruedLiabilitiesCurrent_3f5ab3af-6188-4be2-9072-923eb5a87b8d
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccruedLiabilitiesCurrent
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_3e79328b-bd82-4b51-bab8-f85402d2d567
calculation,to,loc_us-gaap_AccruedLiabilitiesCurrent_3f5ab3af-6188-4be2-9072-923eb5a87b8d
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_fb_ContractWithCustomerLiabilityAndUnusedDeposits_17ec93ca-c64e-449e-9b39-d7bb6e45e1b5
calculation,href,fb-20210930.xsd#fb_ContractWithCustomerLiabilityAndUnusedDeposits
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_3e79328b-bd82-4b51-bab8-f85402d2d567
calculation,to,loc_fb_ContractWithCustomerLiabilityAndUnusedDeposits_17ec93ca-c64e-449e-9b39-d7bb6e45e1b5
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingLeaseLiabilityCurrent_920d67a2-33b6-45ba-94ac-e340e9b251cb
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OperatingLeaseLiabilityCurrent
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_3e79328b-bd82-4b51-bab8-f85402d2d567
calculation,to,loc_us-gaap_OperatingLeaseLiabilityCurrent_920d67a2-33b6-45ba-94ac-e340e9b251cb
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AccountsPayableOtherCurrent_cee69354-0470-4b50-9bf2-117243b605d7
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccountsPayableOtherCurrent
calculation,item_type,calculation_calculationArc
calculation,order,5
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_3e79328b-bd82-4b51-bab8-f85402d2d567
calculation,to,loc_us-gaap_AccountsPayableOtherCurrent_cee69354-0470-4b50-9bf2-117243b605d7
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_55b31041-080d-4df9-b305-d2fa52f7e6d0
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingIncomeLoss_6d0c6d76-7bec-41e6-92d6-76e8388e1165
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OperatingIncomeLoss
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_55b31041-080d-4df9-b305-d2fa52f7e6d0
calculation,to,loc_us-gaap_OperatingIncomeLoss_6d0c6d76-7bec-41e6-92d6-76e8388e1165
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NonoperatingIncomeExpense_fd3e3777-79ee-4a8f-a431-8daf84a5b40c
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_NonoperatingIncomeExpense
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_55b31041-080d-4df9-b305-d2fa52f7e6d0
calculation,to,loc_us-gaap_NonoperatingIncomeExpense_fd3e3777-79ee-4a8f-a431-8daf84a5b40c
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingIncomeLoss_f9a837b6-d05b-4cbe-95fe-cb26fc7f8692
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OperatingIncomeLoss
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax_2adc78fd-5f3d-45b5-a2b1-bc4e2c0bac51
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_OperatingIncomeLoss_f9a837b6-d05b-4cbe-95fe-cb26fc7f8692
calculation,to,loc_us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax_2adc78fd-5f3d-45b5-a2b1-bc4e2c0bac51
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CostsAndExpenses_540cfcce-9cfe-4f65-97d8-686b1a3ed16a
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CostsAndExpenses
